City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Alta Floresta,-9.88,-56.09,97.11,15,7,4.72,BR,1596389473
Te Anau,-45.42,167.72,47.98,91,88,1.14,NZ,1596389473
Quatre Cocos,-20.21,57.76,71.6,68,75,16.11,MU,1596389473
Safaga,26.73,33.94,89.6,55,11,2.24,EG,1596389474
Mutatá,7.24,-76.44,89.6,61,33,3.85,CO,1596389474
Jamestown,42.1,-79.24,75.0,78,90,14.99,US,1596389286
Cangzhou,38.32,116.87,83.03,78,40,12.93,CN,1596389475
Araouane,18.9,-3.53,104.07,21,0,7.72,ML,1596389475
Busselton,-33.65,115.33,44.01,98,49,10.63,AU,1596389475
Qaanaaq,77.48,-69.36,38.97,80,99,12.75,GL,1596389475
Madang,-5.22,145.8,76.39,90,39,2.13,PG,1596389476
Cidreira,-30.18,-50.21,66.58,61,77,8.79,BR,1596389476
Sangar,63.92,127.47,53.35,62,31,4.61,RU,1596389476
Punta Arenas,-53.15,-70.92,44.6,65,34,26.4,CL,1596389476
Kidal,18.44,1.41,95.88,30,30,8.61,ML,1596389477
Arman',59.7,150.17,50.54,73,0,3.58,RU,1596389477
Chepareria,1.31,35.2,63.25,80,71,2.26,KE,1596389477
Ţahţā,26.77,31.5,98.6,19,0,12.75,EG,1596389477
Zhangjiakou,40.81,114.88,69.1,49,6,4.0,CN,1596389478
Kirakira,-10.45,161.92,78.55,80,9,4.7,SB,1596389478
Butaritari,3.07,172.79,82.45,74,35,16.51,KI,1596389479
Northam,51.03,-4.22,62.01,77,100,5.01,GB,1596389479
Cherskiy,68.75,161.3,47.35,79,100,2.77,RU,1596389479
Vao,-22.67,167.48,68.29,68,64,13.58,NC,1596389480
Mayumba,-3.43,10.66,72.82,80,98,7.09,GA,1596389480
Penzance,50.12,-5.54,66.0,77,40,12.75,GB,1596389480
Cabedelo,-6.98,-34.83,80.6,74,75,19.46,BR,1596389481
Karligan,14.97,122.05,80.42,82,100,4.83,PH,1596389481
Bonfim,3.08,-59.95,86.05,63,37,7.63,BR,1596389195
Diré,12.28,-10.97,82.42,86,77,2.13,ML,1596389481
Cradock,-32.16,25.62,59.5,27,0,7.72,ZA,1596389482
Lipari,38.47,14.95,84.99,75,18,1.99,IT,1596389482
Airai,-8.93,125.41,52.81,91,52,1.77,TL,1596389482
Eltham,-39.43,174.3,46.99,95,81,2.15,NZ,1596389483
Derazhnya,49.27,27.43,58.82,76,37,1.77,UA,1596389483
Hasaki,35.73,140.83,69.8,100,75,5.82,JP,1596389483
Cockburn Town,21.46,-71.14,82.24,82,9,16.82,TC,1596389484
Bredasdorp,-34.53,20.04,57.2,87,0,4.7,ZA,1596389484
Øksfjord,70.24,22.35,62.6,59,18,9.17,NO,1596389214
Talnakh,69.49,88.4,64.4,59,97,6.71,RU,1596389484
Grootfontein,-19.57,18.12,54.32,36,0,6.04,NA,1596389485
Faanui,-16.48,-151.75,78.28,80,72,13.56,PF,1596389485
New Norfolk,-42.78,147.06,46.0,84,99,1.99,AU,1596389485
Lincoln,40.8,-96.67,73.99,73,0,5.99,US,1596389159
Sibolga,1.74,98.78,77.07,83,72,1.95,ID,1596389486
Hilo,19.73,-155.09,73.4,73,90,9.17,US,1596389409
Rafaela,-31.25,-61.49,76.01,56,51,5.44,AR,1596389486
Vaini,-21.2,-175.2,73.4,83,75,8.05,TO,1596389486
Bow Island,49.87,-111.37,80.01,44,40,12.75,CA,1596389487
Emerald,-23.53,148.17,53.6,81,0,6.93,AU,1596389487
Puerto Ayora,-0.74,-90.35,73.4,78,40,11.41,EC,1596389487
Saldanha,-33.01,17.94,68.0,64,0,4.7,ZA,1596389488
Sakakah,29.97,40.21,98.6,11,0,5.82,SA,1596389488
Port Elizabeth,-33.92,25.57,68.0,42,0,7.7,ZA,1596389240
Carnarvon,-24.87,113.63,62.6,77,0,14.99,AU,1596389489
Saint-Philippe,-21.36,55.77,69.8,60,90,12.75,RE,1596389489
Cururupu,-1.83,-44.87,86.49,60,14,7.29,BR,1596389297
Fort Walton Beach,30.41,-86.62,89.6,74,1,5.82,US,1596389490
Leningradskiy,69.38,178.42,37.35,90,100,8.21,RU,1596389490
Luleå,65.58,22.15,62.6,77,7,3.36,SE,1596389490
Vila Velha,-20.33,-40.29,75.99,69,20,12.75,BR,1596389491
Porto-Novo,6.5,2.6,78.8,78,20,14.99,BJ,1596389491
Severo-Kuril'sk,50.68,156.12,52.34,87,100,5.99,RU,1596389491
Meulaboh,4.14,96.13,78.19,79,100,2.33,ID,1596389492
Tuktoyaktuk,69.45,-133.04,50.0,71,90,18.34,CA,1596389492
Sun Prairie,43.18,-89.21,75.0,73,90,11.41,US,1596389492
Mar del Plata,-38.0,-57.56,60.8,55,100,9.17,AR,1596389199
São João da Barra,-21.64,-41.05,75.2,57,40,11.41,BR,1596389493
Atar,20.52,-13.05,111.58,8,0,17.2,MR,1596389201
Norman Wells,65.28,-126.83,64.4,88,75,4.7,CA,1596389493
Sooke,48.37,-123.73,73.0,87,75,8.05,CA,1596389494
Lagoa,39.05,-27.98,71.67,72,34,11.36,PT,1596389494
Codrington,-38.27,141.97,42.4,87,95,8.32,AU,1596389494
Kruisfontein,-34.0,24.73,71.01,30,0,9.91,ZA,1596389494
Campechuela,20.23,-77.28,89.92,58,100,5.37,CU,1596389495
Lüderitz,-26.65,15.16,82.4,14,0,6.93,NA,1596389495
Tiksi,71.69,128.87,42.15,92,89,5.03,RU,1596389495
São José da Coroa Grande,-8.9,-35.15,77.36,74,39,15.41,BR,1596389496
Tilichiki,60.47,166.1,47.86,86,58,3.22,RU,1596389496
Hualmay,-11.1,-77.61,66.85,66,42,10.2,PE,1596389496
Hithadhoo,-0.6,73.08,83.05,78,68,11.72,MV,1596389496
Forestville,38.85,-76.88,91.0,66,40,10.29,US,1596389443
Kochubey,44.39,46.58,70.74,74,75,15.48,RU,1596389497
Galle,6.04,80.22,79.03,86,70,10.07,LK,1596389497
Nesna,66.2,13.02,75.2,57,40,10.29,NO,1596389498
Oddur,4.12,43.89,77.83,56,40,19.48,SO,1596389315
Bua Yai,15.59,102.43,76.12,90,100,13.38,TH,1596389498
Whitefish,48.41,-114.34,82.0,39,1,3.36,US,1596389499
Ilulissat,69.22,-51.1,44.67,67,0,4.45,GL,1596389500
Kangaatsiaq,68.31,-53.46,43.74,83,2,10.16,GL,1596389500
Hailar,49.2,119.7,61.0,84,87,5.73,CN,1596389500
Provideniya,64.38,-173.3,44.38,64,95,10.63,RU,1596389500
Hudson Bay,52.85,-102.38,73.72,44,4,3.18,CA,1596389501
Mugumu,-1.85,34.7,67.24,39,4,8.59,TZ,1596389501
São Miguel do Araguaia,-13.28,-50.16,92.34,24,0,5.48,BR,1596389501
Mahébourg,-20.41,57.7,71.6,68,75,16.11,MU,1596389502
Camaná,-16.62,-72.71,64.42,66,78,9.37,PE,1596389502
Dikson,73.51,80.55,51.13,87,88,4.97,RU,1596389502
Sarangani,5.4,125.46,77.81,85,100,1.9,PH,1596389503
Rawson,-43.3,-65.1,56.3,38,30,11.95,AR,1596389503
Sorong,-0.88,131.25,77.43,93,100,10.74,ID,1596389503
Severobaykal'sk,55.65,109.32,54.5,90,6,0.96,RU,1596389504
Nanortalik,60.14,-45.24,47.37,91,99,11.23,GL,1596389504
Saint George,37.1,-113.58,98.01,17,0,3.04,US,1596389306
Fortuna,40.6,-124.16,63.0,1,0,4.0,US,1596389504
Road Town,18.42,-64.62,87.8,70,20,8.05,VG,1596389505
Uray,60.12,64.78,71.58,67,31,9.37,RU,1596389505
Ribeira Grande,38.52,-28.7,75.2,69,20,10.29,PT,1596389505
Avarua,-21.21,-159.78,57.2,93,80,3.36,CK,1596389402
Port Lincoln,-34.73,135.87,53.13,79,100,10.31,AU,1596389506
Atambua,-9.11,124.89,65.5,88,41,4.63,ID,1596389506
Rosarito,32.33,-117.03,75.99,60,40,8.05,MX,1596389506
Mayo,38.89,-76.51,91.0,66,75,9.17,US,1596389218
Bandarbeyla,9.49,50.81,79.11,69,66,31.03,SO,1596389507
Alugan,12.22,125.48,81.82,78,99,5.68,PH,1596389507
Mandiana,10.63,-8.68,77.94,88,74,7.16,GN,1596389507
Malartic,48.13,-78.13,71.6,78,90,11.41,CA,1596389508
Paamiut,61.99,-49.67,45.23,97,100,16.06,GL,1596389508
Kraksaan,-7.76,113.4,74.35,77,21,5.28,ID,1596389508
San Quintín,30.48,-115.95,78.98,56,0,7.4,MX,1596389508
Kungurtug,50.6,97.52,48.49,84,29,1.05,RU,1596389509
Kaitangata,-46.28,169.85,50.0,86,82,3.0,NZ,1596389509
Luena,-11.78,19.92,71.6,53,72,6.93,AO,1596389509
Champerico,14.3,-91.92,89.6,66,20,4.7,GT,1596389510
Laguna,38.42,-121.42,77.0,56,1,4.7,US,1596389474
Yellowknife,62.46,-114.35,79.0,64,40,13.87,CA,1596389495
Doka,13.52,35.77,76.69,75,5,4.45,SD,1596389510
Vardø,70.37,31.11,50.0,87,75,10.29,NO,1596389511
Rørvik,64.86,11.24,60.8,93,75,5.82,NO,1596389511
Mmathubudukwane,-24.6,26.43,66.2,25,0,2.24,BW,1596389512
Pālitāna,21.52,71.83,84.47,79,98,10.36,IN,1596389512
Hangu,39.25,117.79,82.4,83,52,4.47,CN,1596389512
Jacmel,18.23,-72.53,93.2,56,20,13.87,HT,1596389512
Leh,34.17,77.58,65.79,28,1,5.08,IN,1596389513
Tura,25.52,90.22,79.57,80,95,1.74,IN,1596389513
Zhigansk,66.77,123.37,54.18,64,66,10.8,RU,1596389513
Upernavik,72.79,-56.15,43.48,64,84,7.81,GL,1596389514
Matamoros,25.53,-103.25,84.2,45,20,5.82,MX,1596389514
Ketchikan,55.34,-131.65,57.2,100,90,12.75,US,1596389514
Abu Dhabi,24.47,54.37,96.8,67,0,5.82,AE,1596389298
Rocha,-34.48,-54.33,63.57,84,100,1.16,UY,1596389515
Ust-Nera,64.57,143.2,52.83,60,98,1.52,RU,1596389515
Hawick,55.42,-2.79,63.0,67,51,7.94,GB,1596389515
Sept-Îles,50.2,-66.38,73.99,64,40,9.17,CA,1596389410
Itoman,26.12,127.67,84.2,83,75,14.99,JP,1596389516
Suez,29.97,32.53,85.14,37,0,15.68,EG,1596389516
Iroquois Falls,48.77,-80.68,55.4,82,90,11.41,CA,1596389516
Merauke,-8.47,140.33,74.05,82,0,12.5,ID,1596389517
Whyalla,-33.03,137.58,50.0,100,40,3.36,AU,1596389517
Presidencia Roque Sáenz Peña,-26.79,-60.44,90.05,29,5,10.85,AR,1596389517
Port Augusta,-32.5,137.77,50.0,100,40,3.36,AU,1596389518
Lebu,-37.62,-73.65,56.35,82,42,8.79,CL,1596389519
Port Alfred,-33.59,26.89,71.58,27,0,8.5,ZA,1596389519
Fort Nelson,58.81,-122.7,71.6,56,75,8.05,CA,1596389519
Udachny,66.42,112.4,66.2,39,81,4.47,RU,1596389520
Taltal,-25.4,-70.48,66.16,52,17,5.82,CL,1596389520
Touros,-5.2,-35.46,82.4,69,40,13.87,BR,1596389520
Muros,42.78,-9.06,72.0,61,86,11.99,ES,1596389521
Kyshtym,55.71,60.55,63.95,88,93,1.5,RU,1596389521
Beringovskiy,63.05,179.32,47.59,75,100,18.59,RU,1596389521
Batman,37.89,41.13,86.0,42,40,2.24,TR,1596389522
Palmer,42.16,-72.33,84.0,58,75,8.05,US,1596389522
Povenets,62.85,34.83,55.98,79,16,2.1,RU,1596389522
Pangnirtung,66.15,-65.71,51.8,87,75,12.75,CA,1596389522
Lavrentiya,65.58,-171.0,44.98,74,82,8.23,RU,1596389523
Cimahi,-6.87,107.54,67.6,89,84,1.16,ID,1596389523
Tsirguliina,57.86,26.19,66.2,59,95,5.82,EE,1596389524
Krasnosel'kup,65.7,82.47,57.94,87,6,6.6,RU,1596389524
Hokitika,-42.72,170.97,51.6,86,100,2.48,NZ,1596389524
Laminusa,5.55,120.91,82.36,76,89,4.32,PH,1596389525
Geraldton,-28.77,114.6,51.8,93,75,5.82,AU,1596389442
Paraná,-31.73,-60.52,72.37,62,83,4.23,AR,1596389525
Coyhaique,-45.58,-72.07,44.6,70,75,5.82,CL,1596389342
Simbahan,6.3,120.58,82.69,73,80,4.09,PH,1596389526
Egvekinot,66.32,-179.17,42.49,73,55,2.62,RU,1596389526
Miandrivazo,-19.52,45.47,75.13,27,0,2.44,MG,1596389527
San Patricio,19.22,-104.7,91.4,70,5,9.17,MX,1596389527
Marsh Harbour,26.54,-77.06,84.07,78,100,27.63,BS,1596389527
Maralal,1.1,36.7,60.24,57,50,8.34,KE,1596389528
Betioky,-23.72,44.38,63.36,63,0,12.59,MG,1596389528
Candolim,15.52,73.76,75.2,100,90,11.41,IN,1596389529
Jacareacanga,-6.22,-57.75,100.36,18,14,1.79,BR,1596389529
Yarmouth,41.71,-70.23,82.0,65,1,13.87,US,1596389431
Flinders,-34.58,150.86,48.0,86,24,1.01,AU,1596389529
Kilindoni,-7.91,39.67,77.16,80,11,20.42,TZ,1596389530
Jardim,-21.48,-56.14,90.41,25,0,7.11,BR,1596389530
Novaya Igirma,57.13,103.91,56.89,69,62,5.23,RU,1596389530
Namatanai,-3.67,152.43,79.56,83,77,7.14,PG,1596389530
Bethel,41.37,-73.41,78.01,88,90,6.93,US,1596389417
Haines Junction,60.75,-137.51,58.62,63,92,6.55,CA,1596389531
Nivala,63.92,24.97,61.0,84,10,1.01,FI,1596389531
Matara,5.95,80.54,78.04,87,68,9.37,LK,1596389493
Marsá Maţrūḩ,31.35,27.25,82.4,74,0,10.29,EG,1596389532
Rio Grande,-32.03,-52.1,77.0,61,99,8.05,BR,1596389532
Santa Marta,11.24,-74.2,91.4,66,20,6.93,CO,1596389299
Brownwood,31.71,-98.99,91.4,26,1,9.1,US,1596389360
Lompoc,34.64,-120.46,62.6,72,0,5.82,US,1596389533
Tazovsky,67.47,78.7,54.59,88,4,5.59,RU,1596389533
Gouyave,12.16,-61.73,86.0,79,20,19.46,GD,1596389533
Bac Lieu,9.29,105.72,80.17,84,100,13.29,VN,1596389279
Saint-François,46.42,3.91,78.8,47,76,12.75,FR,1596389534
Ayan,56.45,138.17,54.03,80,0,5.03,RU,1596389534
Wanning,18.8,110.4,81.27,83,99,6.78,CN,1596389534
Ugoofaaru,5.67,73.0,82.72,81,100,16.51,MV,1596389535
Honningsvåg,70.98,25.97,50.0,81,75,2.24,NO,1596389316
Bengkulu,-3.8,102.27,76.71,90,46,7.0,ID,1596389535
Puerto Madryn,-42.77,-65.04,57.51,36,44,8.88,AR,1596389536
Abnūb,27.27,31.15,98.6,19,0,13.87,EG,1596389536
Liusha,27.21,108.59,71.15,96,18,0.94,CN,1596389536
Cabo San Lucas,22.89,-109.91,91.99,52,20,5.82,MX,1596389453
Tambopata,-12.73,-69.18,87.8,55,0,3.36,PE,1596389537
Hobyo,5.35,48.53,78.91,73,37,29.62,SO,1596389537
Oranjemund,-28.55,16.43,68.34,29,0,5.3,NA,1596389537
Jundiá,-8.93,-35.57,77.0,78,75,13.87,BR,1596389537
Mackay,-21.15,149.2,54.0,93,6,8.05,AU,1596389538
Alofi,-19.06,-169.92,60.8,100,18,1.12,NU,1596389538
São Filipe,14.9,-24.5,78.31,87,65,5.79,CV,1596389538
Jarosław,50.02,22.68,73.99,51,31,7.49,PL,1596389539
Guerrero Negro,27.98,-114.06,83.93,49,70,13.91,MX,1596389539
Nouakchott,18.09,-15.98,87.8,66,3,23.04,MR,1596389254
Sørland,67.67,12.69,59.0,82,100,9.17,NO,1596389539
Bouza,14.42,6.04,84.49,59,77,10.76,NE,1596389540
Porbandar,21.64,69.61,86.0,78,70,8.5,IN,1596389540
Bathsheba,13.22,-59.52,87.8,66,40,13.87,BB,1596389540
Biak,-0.91,122.88,75.42,84,98,4.52,ID,1596389541
Volodarskiy,46.4,48.54,77.0,50,67,2.24,RU,1596389541
Mount Gambier,-37.83,140.77,39.2,93,40,8.05,AU,1596389541
Belle Fourche,44.67,-103.85,75.0,43,1,6.93,US,1596389374
Bariloche,-41.15,-71.31,48.2,49,75,9.17,AR,1596389532
Esperance,-33.87,121.9,50.0,81,57,11.41,AU,1596389542
Maroua,10.59,14.32,73.4,94,40,3.36,CM,1596389542
Paralímni,35.04,33.98,89.6,74,0,16.11,CY,1596389543
Mahalapye,-23.1,26.81,59.22,36,0,9.53,BW,1596389544
Chokurdakh,70.63,147.92,48.83,69,73,4.59,RU,1596389544
Los Llanos de Aridane,28.66,-17.92,79.0,73,20,16.11,ES,1596389544
Coquimbo,-29.95,-71.34,60.8,63,80,10.29,CL,1596389301
Mercedes,-34.65,-59.43,75.99,69,99,8.01,AR,1596389544
Sandakan,5.84,118.12,82.4,88,20,2.91,MY,1596389335
Klaksvík,62.23,-6.59,50.0,100,52,5.82,FO,1596389545
Devgarh,25.53,73.9,78.42,82,90,6.93,IN,1596389545
Basco,20.45,121.97,83.89,78,98,18.84,PH,1596389545
Ucluelet,48.93,-125.55,61.0,93,90,5.82,CA,1596389351
Anloga,5.79,0.9,78.8,78,20,14.99,GH,1596389546
Shalya,57.25,58.73,61.74,93,99,6.26,RU,1596389546
Dhaka,23.71,90.41,86.0,74,99,4.16,BD,1596389489
Bulgan,48.81,103.53,55.2,77,100,4.36,MN,1596389547
Tena,-0.98,-77.82,86.0,62,40,4.7,EC,1596389547
Castro,-24.79,-50.01,67.95,50,2,5.91,BR,1596389548
Houma,29.6,-90.72,84.99,74,75,4.7,US,1596389436
Bambous Virieux,-20.34,57.76,71.6,68,75,16.11,MU,1596389548
Aswān,24.09,32.91,102.56,22,64,9.66,EG,1596389548
Eyl,7.98,49.82,79.81,67,56,26.13,SO,1596389549
Port Blair,11.67,92.75,82.53,82,100,24.0,IN,1596389549
Bischheim,48.62,7.76,77.0,73,95,8.05,FR,1596389549
Buchanan,5.88,-10.05,80.6,78,75,9.17,LR,1596389549
Caravelas,-17.71,-39.25,74.89,67,12,11.68,BR,1596389550
Padang,-0.95,100.35,76.64,79,44,3.94,ID,1596389550
Constitución,-35.33,-72.42,60.62,75,40,4.99,CL,1596389436
Oktyabr'skiy,54.48,53.47,60.35,89,92,2.08,RU,1596389551
Banda Aceh,5.56,95.32,81.41,73,100,10.58,ID,1596389285
Cayenne,4.93,-52.33,77.0,94,38,5.82,GF,1596389405
Korla,41.76,86.15,85.12,19,88,5.86,CN,1596389399
Kropotkin,45.44,40.58,68.45,55,48,5.28,RU,1596389552
Shelburne,44.08,-80.2,75.0,94,90,13.65,CA,1596389553
Aykhal,66.0,111.5,66.2,39,66,4.47,RU,1596389553
Ajdabiya,30.76,20.23,78.78,83,0,10.89,LY,1596389553
Tuatapere,-46.13,167.68,44.73,90,68,2.77,NZ,1596389553
Hoima,1.44,31.34,71.46,63,84,3.67,UG,1596389554
Ratnagiri,16.98,73.3,78.53,88,100,16.04,IN,1596389554
Hong Kong,22.29,114.16,80.01,94,100,11.99,HK,1596389356
Kiryat Gat,31.61,34.76,84.0,81,0,6.58,IL,1596389523
Budeşti,44.23,26.47,82.0,32,0,1.99,RO,1596389555
Yumen,40.28,97.2,69.22,22,0,13.09,CN,1596389555
Mahajanga,-15.72,46.32,76.64,53,0,19.08,MG,1596389555
Belmonte,-15.86,-38.88,77.0,61,40,9.17,BR,1596389260
Ahipara,-35.17,173.17,55.2,84,99,10.36,NZ,1596389556
Smithers,54.78,-127.17,60.8,72,75,3.36,CA,1596389556
Ulaangom,49.98,92.07,58.42,55,35,3.44,MN,1596389556
San Cristobal,7.77,-72.22,93.2,38,40,23.04,VE,1596389313
Sulangan,11.14,123.72,83.59,73,99,5.19,PH,1596389557
Kachīry,53.07,76.1,73.69,63,0,6.38,KZ,1596389557
Rio do Sul,-27.21,-49.64,80.01,60,3,1.01,BR,1596389557
Ust'-Koksa,50.27,85.61,51.21,78,0,1.54,RU,1596389558
Kumul,42.8,93.45,84.07,14,67,5.28,CN,1596389558
Avera,33.19,-82.53,95.0,41,40,5.82,US,1596389558
Marzuq,14.4,46.47,82.04,57,2,8.05,YE,1596389559
Barra do Garças,-15.89,-52.26,92.46,21,0,5.19,BR,1596389559
Sena Madureira,-9.07,-68.66,96.69,27,0,2.57,BR,1596389559
Yulara,-25.24,130.99,42.8,22,0,3.36,AU,1596389559
Margate,51.38,1.39,71.01,46,38,3.0,GB,1596389486
Raja,8.46,25.68,72.07,90,100,2.57,SS,1596389560
Conceição do Araguaia,-8.26,-49.26,91.4,33,12,10.29,BR,1596389560
Salekhard,66.53,66.6,61.83,77,100,3.78,RU,1596389560
Llanes,43.42,-4.75,72.0,91,93,5.99,ES,1596389561
Kungsbacka,57.49,12.08,64.0,77,75,12.75,SE,1596389430
Nhulunbuy,-12.23,136.77,73.4,88,19,6.93,AU,1596389561
Lima,-12.04,-77.03,60.8,82,90,5.82,PE,1596389415
Agadez,19.75,10.25,96.19,24,51,7.96,NE,1596389562
Flagstaff,35.2,-111.65,86.0,41,1,12.75,US,1596389562
Pisco,-13.7,-76.22,64.4,72,2,10.29,PE,1596389562
Tambo Grande,-4.93,-80.34,87.48,35,0,9.69,PE,1596389563
Caucaia,-3.74,-38.65,86.0,58,20,13.87,BR,1596389563
Vanimo,-2.67,141.3,76.5,84,37,3.06,PG,1596389563
Makkah al Mukarramah,21.43,39.83,92.3,47,62,6.91,SA,1596389564
Myaundzha,63.05,147.19,47.71,76,97,0.85,RU,1596389564
Puerto Colombia,10.99,-74.95,95.0,53,20,10.29,CO,1596389266
Walvis Bay,-22.96,14.51,91.4,28,0,8.05,NA,1596389565
Kabinda,-6.13,24.48,78.04,29,67,4.56,CD,1596389565
Jalu,29.03,21.55,93.79,27,0,16.78,LY,1596389565
Kawalu,-7.38,108.21,69.98,90,100,1.32,ID,1596389565
Solnechnyy,50.72,136.63,52.63,88,100,8.46,RU,1596389566
Santa Luzia,-19.77,-43.85,73.4,40,40,9.17,BR,1596389566
Mormugao,15.4,73.8,75.2,100,90,11.41,IN,1596389566
Tautira,-17.73,-149.15,73.4,78,75,4.7,PF,1596389567
Nemuro,43.32,145.57,63.0,95,49,10.87,JP,1596389567
Sarti,40.1,23.98,79.7,59,2,5.06,GR,1596389567
Sitka,57.05,-135.33,57.2,87,90,4.7,US,1596389459
Pajapan,18.25,-94.7,87.8,66,75,6.33,MX,1596389567
Sola,-13.88,167.55,76.26,90,42,18.19,VU,1596389568
Ceyranbatan,40.54,49.66,77.0,88,40,16.11,AZ,1596389568
Inuvik,68.35,-133.72,50.0,93,90,5.82,CA,1596389568
Henties Bay,-22.12,14.28,77.0,33,0,3.0,NA,1596389569
Vaitape,-16.52,-151.75,79.14,78,72,13.38,PF,1596389569
Hoquiam,46.98,-123.89,64.99,82,90,3.83,US,1596389569
Zhangaözen,43.3,52.8,82.76,24,41,7.85,KZ,1596389569
Padampur,29.68,73.62,100.31,32,52,6.13,IN,1596389570
Visnes,59.36,5.22,59.0,77,93,12.75,NO,1596389570
Três Lagoas,-20.75,-51.68,86.52,24,0,6.67,BR,1596389570
Samfya,-11.36,29.56,64.17,42,76,9.31,ZM,1596389570
Black River,18.03,-77.85,87.8,74,20,11.41,JM,1596389571
Gouré,13.98,10.27,85.23,55,92,6.42,NE,1596389571
Camacha,33.08,-16.33,75.2,64,20,13.87,PT,1596389571
Mojo,8.6,39.12,65.03,75,52,12.84,ET,1596389571
Ancud,-41.87,-73.82,55.99,81,75,12.75,CL,1596389572
Karīmnagar,18.43,79.15,81.79,78,95,8.84,IN,1596389572
Alamosa,37.47,-105.87,71.6,35,1,2.98,US,1596389419
Bonavista,48.65,-53.11,62.01,82,91,11.01,CA,1596389572
Puerto del Rosario,28.5,-13.86,82.4,69,0,17.22,ES,1596389573
Narsaq,60.92,-46.05,53.6,71,100,5.82,GL,1596389573
Anadyr,64.75,177.48,48.2,87,75,9.8,RU,1596389573
Tadpatri,14.92,78.02,80.51,68,70,22.46,IN,1596389573
Karlstad,59.38,13.5,64.99,77,46,12.75,SE,1596389574
